Object Number,RA_hms,Dec_dms,Z_BEST,Z_BEST68_HIGH,Z_BEST68_LOW,Flux_f090w,Flux_f115w,Flux_f150w,Flux_f200w,Flux_f277w,Flux_f356w,Flux_f410m,Flux_f444w,Hainline,Whitler
1,+12:36:48.25,+62:17:41.65,8.5144,8.9073,8.2498,-0.03672839,0.6168091,1.352909,1.226234,1.154441,1.09896,1.170964,0.9541917,,
2,+12:37:14.26,+62:10:30.19,8.524,8.6505,8.3759,-0.006305769,0.6555884,1.104114,0.959454,0.8288129,0.9635233,1.404729,1.203791,HN,
3,+12:36:57.24,+62:08:00.34,8.5308,8.8372,8.1623,-0.06797801,0.3381929,0.6530913,0.4799365,0.4049686,0.434735,0.3386447,0.6280988,HN,
4,+12:36:18.52,+62:15:19.67,8.5513,8.9031,8.1628,-0.1490185,0.3505042,0.5860449,0.6034234,0.3017188,0.4202675,0.3932456,0.7085739,HN,
5,+12:36:13.33,+62:13:17.45,8.5524,8.7648,8.4066,-0.2134863,1.223139,2.294473,1.983127,1.594572,1.405345,0.8920592,1.994662,HN,
6,+12:36:31.16,+62:16:27.49,8.5548,8.8218,8.2323,0.007145524,0.4989533,1.117572,0.8465645,0.713355,0.8162101,1.0043,0.7363071,,
7,+12:36:48.77,+62:14:33.03,8.5629,8.862,8.1954,-0.08072125,0.5514725,0.5182197,0.3735085,0.3573858,0.5300492,0.8864024,1.011204,HN,
8,+12:36:36.48,+62:18:31.13,8.584,9.1344,8.1984,-0.1614292,0.4149468,1.059488,0.9023558,0.5112832,0.3277567,0.1422819,0.5431136,HN,
9,+12:37:20.29,+62:11:01.81,8.6031,8.9505,8.3388,-0.0770435,0.3124379,0.6372209,0.881221,0.8612489,0.8532086,0.9597567,0.979705,,
10,+12:36:52.80,+62:08:19.94,8.6836,8.8504,8.4695,0.04341337,0.7101481,1.426285,1.14505,0.822782,0.7554365,0.5131878,1.158021,,
11,+12:36:58.79,+62:10:28.27,8.72,8.9906,8.4046,-0.05997302,0.2835765,0.4503487,0.7347047,0.4229371,0.4300045,0.4410506,0.8130233,HN,
12,+12:36:19.88,+62:15:30.72,8.7358,9.103,8.2208,0.01319633,0.1949203,0.5513319,0.4692283,0.4495567,0.3793256,0.2819675,0.5965317,HN,
13,+12:36:54.98,+62:09:41.22,8.7514,8.9554,8.2209,0.004892516,0.2127106,0.5725147,0.6085795,0.5759232,0.648686,0.5832461,0.9762605,HN,
14,+12:36:28.10,+62:17:00.50,8.7661,9.0037,8.5378,-0.04797128,0.5437826,1.286194,0.7960392,0.8078692,0.661184,0.8853713,0.5884317,,
15,+12:36:50.61,+62:12:21.08,8.771,8.9906,8.5519,0.01217104,0.3186578,0.738362,0.5508049,0.5582886,0.4531091,0.454412,0.3510456,,
16,+12:35:55.33,+62:16:56.15,8.8148,9.0911,8.3971,-0.275731,0.5212854,0.8407574,0.7881005,0.8287743,0.5655355,0.8554232,0.9420431,,
17,+12:36:10.67,+62:14:38.14,8.8242,10.8522,8.3737,-0.03611614,0.1474488,0.6596949,0.6850368,0.472966,0.4964365,0.335398,0.6604944,,
18,+12:36:36.82,+62:17:31.48,8.8731,9.1404,8.6114,-0.06282432,0.1924636,0.819688,0.7693031,0.6615753,0.7587522,0.6170436,1.069314,HN,WT
19,+12:36:48.76,+62:14:32.82,8.8821,9.0035,8.7217,0.02564055,0.8726541,0.7460874,0.7244185,0.6951433,0.8120226,1.459805,1.918361,HN,
20,+12:36:37.05,+62:13:25.55,8.9829,9.2912,8.688,-0.05188317,0.3396174,0.9971546,1.04879,0.8023417,0.7340968,0.9421719,0.7506523,,
21,+12:36:50.58,+62:13:51.61,8.9898,9.1636,8.7992,0.1653478,0.3007336,1.037975,1.044105,0.9647349,0.9067031,1.033683,0.8429692,,
22,+12:36:43.36,+62:10:49.84,8.9961,9.246,8.7541,-0.06358714,0.1745511,0.8864055,0.6579362,0.6574662,0.7475207,0.6808618,0.9335195,HN,
23,+12:36:41.81,+62:12:09.32,9.0208,9.2063,8.8414,-0.1595087,0.2577,0.8513967,0.6578594,0.5688899,0.4650872,0.463429,0.5784153,HN,
24,+12:35:58.22,+62:17:33.87,9.0284,9.231,8.8432,0.187663,0.4703127,1.55551,1.971995,1.681462,1.683189,2.013009,1.626922,HN,
25,+12:36:43.32,+62:10:49.71,9.0359,9.2098,8.8863,-0.1621996,0.3667256,1.311074,1.469243,1.121863,1.132606,1.295066,1.307803,HN,WT
26,+12:36:12.15,+62:16:45.71,9.0446,9.331,8.835,-0.1728982,0.3740476,0.434759,0.4103149,0.2893352,0.5246001,1.222264,1.217968,HN,
27,+12:36:52.86,+62:13:09.43,9.1993,9.3675,8.973,0.2707246,0.156575,0.9765127,0.6039275,0.5681853,0.4689808,0.2645353,0.4377722,,
28,+12:36:38.59,+62:11:59.95,9.2514,9.4609,9.0145,-0.01331137,0.1077996,0.5705302,0.4872668,0.49093,0.402894,0.4318652,0.3567981,,WT
29,+12:37:09.31,+62:13:45.51,9.3643,9.5116,9.1742,0.1673011,0.1231328,0.8181171,1.002402,0.7570795,0.6675517,0.8143356,0.7741811,HN,
30,+12:36:59.63,+62:08:43.82,9.4,10.2794,8.8877,-0.00404297,0.07239579,0.4962886,0.3825544,0.3046516,0.2557013,0.3803006,0.2453444,,
31,+12:37:16.10,+62:11:11.69,9.4356,10.5173,9.0864,0.1155261,0.02594002,0.4420985,0.4436385,0.314062,0.3231729,0.4238372,0.3602834,,WT
32,+12:37:02.86,+62:12:03.98,9.4801,9.8137,9.2279,0.005863123,0.003678963,0.639743,0.5530332,0.4974872,0.5497864,0.656917,0.5811025,,WT
33,+12:37:02.89,+62:12:03.91,9.4895,9.6594,9.339,-0.01054445,0.01057143,0.5811419,0.8175231,0.6232447,0.7351446,0.9650531,0.6754766,HN,WT
34,+12:36:57.82,+62:08:47.05,9.4927,10.4428,9.1059,-0.0756652,0.03593953,0.4520712,0.4043185,0.3129915,0.2538727,0.4236132,0.1668188,,
35,+12:37:14.80,+62:09:12.34,9.5057,10.0066,8.647,-0.1228225,0.1671125,0.6379957,0.2723223,0.1888621,0.09212389,0.4797203,0.4629264,,
36,+12:36:54.38,+62:15:59.27,9.5408,10.2341,9.1038,-0.3075314,-0.03953344,0.3865438,0.2079145,0.2760363,0.2252652,0.4644453,0.3027355,HN,WT
37,+12:36:12.39,+62:15:02.53,9.5618,10.4818,9.1271,0.006763384,-0.02993929,0.8389136,0.9022425,0.5733461,0.619763,0.6780813,0.7374784,HN,WT
38,+12:36:14.33,+62:14:44.59,9.6127,10.7745,9.3964,-0.06244004,-0.2948838,0.6787761,0.7673708,0.5093891,0.4919702,0.5072771,0.4525692,HN,WT
39,+12:36:54.38,+62:15:59.31,9.7619,10.4042,9.3172,-0.232955,-0.06499452,0.4363877,0.3111814,0.3546011,0.2316951,0.457019,0.3644196,HN,WT
40,+12:36:57.61,+62:12:50.95,10.0928,10.4724,9.6325,-0.0183576,-0.03604753,0.5590329,0.4857975,0.4884257,0.3972126,0.4981083,0.6538854,HN,WT
41,+12:36:12.40,+62:15:02.57,10.1186,10.5373,9.0208,-0.06187901,-0.02937954,0.8281017,0.8047733,0.5309745,0.619635,0.6140971,0.7802441,HN,WT
42,+12:36:54.50,+62:08:53.05,10.1812,10.7942,9.2984,-0.05309764,-0.007541135,0.2746417,0.3354416,0.1957381,0.119074,0.2380572,0.1652998,HN,WT
